"area_name","group_series_name","sum"
Hong Kong,Goblin Special,6478
Hong Kong,Good Doctor (JP),36502
Hong Kong,"Good-bye, Enari-kun",1280
Hong Kong,Goodbye Mr. Black,7343
Hong Kong,Goodbye Mr. Black (Cantonese),25072
Hong Kong,Gordon Ramsay's Ultimate Cookery Course S01,571
Hong Kong,Gu Family Secret,4515
Hong Kong,Gu Family Secret (Cantonese),13274
Hong Kong,HIStory3,8
Hong Kong,HK Promo : ztore,3421
Hong Kong,HK Promotion : Samsung TV,6603
Hong Kong,Haechi,283872
Hong Kong,Halustik (Viu Originals),338
Hong Kong,Harukana Receive,4477
Hong Kong,"Have you ever fallen in Love, Miss Jiang?",751
Hong Kong,He is Psychometric,508528
Hong Kong,He is Psychometric Special,7689
Hong Kong,Hello K-Idol,91
Hong Kong,Hello K-Idol ExclusiVlogs,10
Hong Kong,Hello K-Idol Special and Behind the Scenes,31
Hong Kong,Hello My Twenties!,4617
Hong Kong,Hello My Twenties! 2,4307
Hong Kong,Hide and Seek (MBC),30372
Hong Kong,Hoh Family,22710
Hong Kong,Hold Me Tight,3971
Hong Kong,Holmes of Kyoto,8115
Hong Kong,Horror Dimension (2015),5245
Hong Kong,Horror Dimension (2016),2274
Hong Kong,Horror Dimension (2017),3265
Hong Kong,Hospital Ship,40583
Hong Kong,Hospital Ship Special,459
Hong Kong,Hotel Del Luna,507285
Hong Kong,Hotel Del Luna (HK-sponsored version),605015
Hong Kong,How Not to Summon a Demon Lord,20282
Hong Kong,Hunter x Hunter,460081
Hong Kong,I Am Not a Robot,152061
Hong Kong,I Live Alone (2017),7822
Hong Kong,I Live Alone (2018),18684
Hong Kong,I Live Alone (2018) (Dual Sub Hong Kong),100
Hong Kong,I Live Alone (2019),23285
Hong Kong,I See You,3091
Hong Kong,I TURN,6126
Hong Kong,I Wanna Be The Protagonist,514
Hong Kong,"I am sorry, I love you",7980
Hong Kong,I live alone (2016),4671
Hong Kong,Idea Show,458
Hong Kong,If It's for My Daughter,25422
Hong Kong,Infinite Challenge (2016),6015
Hong Kong,Infinite Challenge (2017),4543
Hong Kong,Infinite Challenge (2018),4404
Hong Kong,Infinite Challenge’s Legends,533
Hong Kong,Initial D Fifth Stage,20320
Hong Kong,Initial D First Stage,38531
Hong Kong,Initial D Fourth Stage,31299
Hong Kong,Initial D Second Stage,15767
Hong Kong,Initial D Third Stage,3190
Hong Kong,Initial D final stage,9005
Hong Kong,Innocent Defendant,26595
Hong Kong,Innocent Defendant (Cantonese),22877
Hong Kong,Interviews with Monster Girls,1702
Hong Kong,Interviews: Shadow of Justice,474
Hong Kong,Iron Ladies,12505
Hong Kong,It's All About The Looks,2970
Hong Kong,It's Dangerous Beyond The Blankets (2017),1307
Hong Kong,It's Dangerous Beyond The Blankets (2018),4808
Hong Kong,Item,891762
Hong Kong,Item Special,7842
Hong Kong,Jamie's 15 minute meal,598
Hong Kong,JoJo's Bizarre Adventure (Season 1),36628
Hong Kong,JoJo's Bizarre Adventure (Season 2),65324
Hong Kong,JoJo's Bizarre Adventure (Season 3),49655
Hong Kong,Just Married (2016),6136
Hong Kong,Justice,124086
Hong Kong,K1 Entertainment News,3504
Hong Kong,K1 Exclusive (PH),27
Hong Kong,K1 endorsement,1331
Hong Kong,K1_Daily News,1090420
Hong Kong,K1_Dispatch Exclusive,35372
Hong Kong,K1_Features,154188
Hong Kong,K1_Features (Overseas),373
Hong Kong,KBS Drama Awards (2016),292
Hong Kong,KBS Entertainment Awards (2016),84
Hong Kong,KBS Song Festival (2016),115
Hong Kong,KEIJO!!!!!!!! Hip Whip Girl,4259
Hong Kong,KONOSUBA S1,14589
Hong Kong,KONOSUBA S2,11498
Hong Kong,KZL (Viu Originals),369
Hong Kong,Kaguya-sama: Love Is War,54838
Hong Kong,Kenapa Harus Bule (Viu Originals),204
Hong Kong,Kimi wa Pet,3221
Hong Kong,Kimi wa Pet (Cantonese),7890
Hong Kong,King Of Mask Singer (2017),2608
Hong Kong,King Of Mask Singer (2018),7107
Hong Kong,King of Mask Singer (2019),7362
Hong Kong,King of the Mask Singer (2016),3663
Hong Kong,King's game,7688
Hong Kong,"Kiss Him, Not Me",5580
Hong Kong,Kiss Me (Cantonese),7571
Hong Kong,Kiss The Series,2863
Hong Kong,Knock Out Girl (Viu Originals),18
Hong Kong,Kono Oto Tomare! Sounds of Life,28960
Hong Kong,Korea Guide,784
Hong Kong,Legal High,133932
Hong Kong,Legal V,47055
Hong Kong,Legend Of Fu Yao,347357
Hong Kong,Less than Evil,155075
Hong Kong,Let Me Introduce Her,22879
Hong Kong,Let's Eat! 3,20076
Hong Kong,Life Plan A and B,7224
Hong Kong,Life Plan A and B (Cantonese),2592
Hong Kong,Listen to Love,5534
Hong Kong,Love & Life & Lie,23699
Hong Kong,Love Academy,410
Hong Kong,Love Alert,85691
Hong Kong,Love And Lies,2183
Hong Kong,Love History of girl,166
Hong Kong,Love Like Flower,12429
Hong Kong,Love Live! Sunshine!!,2045
Hong Kong,Love Live! Sunshine!! Season 2,2177
Hong Kong,Love Storm,1678
Hong Kong,Love and 3.14159,20785
Hong Kong,Love at First Hate,13062
Hong Kong,Love in the Moonlight,85104
Hong Kong,Love in the Moonlight (Cantonese),21612
Hong Kong,Love in the Moonlight (Making of),702
Hong Kong,Love in the Moonlight Special,2457
Hong Kong,Lovey Dovey (Cantonese),1337
Hong Kong,Lunch Time (2018),980
Hong Kong,Luxe Asia,378
Hong Kong,MBC Drama Awards (2017),245
Hong Kong,MBC Drama Awards (2018),5356
Hong Kong,MBC Entertainment Awards (2017),86
Hong Kong,MBC Entertainment Awards (2018),2525
Hong Kong,MBC Music Festival (2017),261
Hong Kong,MBC Music Festival (2018),3952
Hong Kong,MPD NASHIGOREN SECTION,2375
Hong Kong,MPD:Animal Unit,2543
Hong Kong,Mad Dog,6451
Hong Kong,Madame Antoine,5453
Hong Kong,Make me Viral,442
Hong Kong,Making of: What's Wrong Poong-sang,11
Hong Kong,Making-of: Shadow of Justice,237
Hong Kong,Mama Fairy and the Woodcutter,105338
Hong Kong,Man Who Dies to Live,2337
Hong Kong,Man to Man,92022
Hong Kong,Manhole,2394
Hong Kong,March Comes in like a Lion,4532
Hong Kong,March Comes in like a Lion Season 2,3965
Hong Kong,March Comes in like a Lion Special,225
Hong Kong,Marginal#4,615
Hong Kong,"Marry Me, or Not?",15750
Hong Kong,"Marry Me, or Not? (Cantonese)",17642
Hong Kong,Mazinger Z,7868
Hong Kong,Missing9,7575
Hong Kong,Missing9 Special,239
Hong Kong,Misty,27382
Hong Kong,Misty (Cantonese),2437
Hong Kong,Misty (Trailer),106
Hong Kong,Money Flower,6342
Hong Kong,Moorim School,5496
Hong Kong,Mr. Osomatsu season1,3319
Hong Kong,Mr. Osomatsu season2,2340
Hong Kong,Ms. Hammurabi,31194
Hong Kong,My Absolute Boyfriend,571503
Hong Kong,My Dear Boy,30319
Hong Kong,My Dear Cat,13
Hong Kong,My Dream Trip (HK),1446
Hong Kong,My First Time,1450
Hong Kong,My Girl (Thai version),11859
Hong Kong,My Horrible Boss,2959
Hong Kong,"My Husband, Mr. Oh!",17502
Hong Kong,My ID is Gangnam Beauty,148670
Hong Kong,"My Lawyer, Mr. Joe",7913
Hong Kong,"My Lawyer, Mr. Joe (Cantonese)",13727
Hong Kong,My Little Television (2017),67
Hong Kong,My Sassy Girl,7219
Hong Kong,My Shy Boss,17519
Hong Kong,My Shy Boss (Cantonese),10466
Hong Kong,My Shy Boss: The Beginning,215
Hong Kong,My True Friend,259593
Hong Kong,My little television (2016),119
Hong Kong,Mystery Rank Show 123 (2017),70
Hong Kong,Mystery Rank Show 123 (2018),199
Hong Kong,NANBAKA,6535
Hong Kong,NANBAKA Season 2,3626
Hong Kong,Naked Fireman,1817
Hong Kong,National Husband (2018),2003
Hong Kong,National Husband (2019),2879
Hong Kong,Natsume's Book of Friends Five,5520
Hong Kong,Natsume's Book of Friends Five Special,1144
Hong Kong,Natsume's Book of Friends Six,6715
Hong Kong,New year greeting,4929
Hong Kong,Night Hero NAOTO,911
Hong Kong,No Sleep No FOMO (2019),71472
Hong Kong,No Sleep No FOMO Launch Party,124
Hong Kong,No Sleep No FOMO Launch Party (HK),1865
Hong Kong,Oh my Jump,2607
Hong Kong,Omniscient Interfering View (2018),10038
Hong Kong,Omniscient Interfering View (2019),7569
Hong Kong,Omniscient Interfering View Special (2018),149
Hong Kong,On the Border (2018),1269
Hong Kong,On the Way to the Airport,22143
Hong Kong,On the Way to the Airport (Cantonese),14659
Hong Kong,One Piece,615597
Hong Kong,Only side by side with you,36942
Hong Kong,Osakefufu,4348
Hong Kong,Ossan's Love SP,2443
Hong Kong,Ossan’s Love,16039
Hong Kong,Ossan’s Love (Cantonese),713
Hong Kong,OtokoMeshi,4304
Hong Kong,Our Glamorous Time,268355
Hong Kong,Overlord Season 2,17267
Hong Kong,Overlord Season 3,25291
Hong Kong,Owarimonogatari Seaon Two,463
Hong Kong,Padam Padam,7167
Hong Kong,Palace,92401
Hong Kong,Parting Left,6469
Hong Kong,Partners for Justice,229538
Hong Kong,Partners for Justice 2,722666
Hong Kong,Perfect Match 2017,4597
Hong Kong,Pied Piper,925
Hong Kong,Ping Pong Ball,1046
Hong Kong,Plus Nine Boys,2582
Hong Kong,Police Tactical Unit (Cantonese),1744214
Hong Kong,Police Tactical Unit (Mandarin),11268
Hong Kong,Possessed,254927
Hong Kong,Press Conference: Shadow of Justice,307
Hong Kong,Prince of Stride Alternative,65
Hong Kong,Princess Agents,135090
Hong Kong,Princess Hours (Cantonese),4540
Hong Kong,Princess Hours Thailand,12809
Hong Kong,Princess Jellyfish,3322
Hong Kong,Prisana Akat,1623
Hong Kong,Pure Intention,23884
Hong Kong,Queen,70905
Hong Kong,Queen for Seven Days,35511
Hong Kong,Queen for Seven Days (Cantonese),20068
Hong Kong,Queen of Mystery,34337
Hong Kong,Queen of Mystery (Cantonese),21065
Hong Kong,Queen of Mystery 2,52476
Hong Kong,Queen of Mystery 2 (Cantonese),3041
Hong Kong,Quiz from God - Reboot,108008
Hong Kong,Radiant Office,943
Hong Kong,Radio Star (2016),66
Hong Kong,Radio Star (2017),959
Hong Kong,Radio Star (2018),4059
Hong Kong,Radio Star (2019),7283
Hong Kong,Rain or Shine,58179
Hong Kong,Rascal Does Not Dream of Bunny Girl Senpai,23592
Hong Kong,ReLIFE,9470
Hong Kong,Real Men 2 (2016),3461
Hong Kong,Real Men 300 (2018),4782
Hong Kong,Real Men 300 (2019),4191
Hong Kong,Remember you,9339
Hong Kong,Reply 1997,11146
Hong Kong,Reset,2861
Hong Kong,Residential Complex,5552
Hong Kong,Restaurant to Another World,5994
Hong Kong,Retire to Queen,3692
Hong Kong,Return of Fortunate Bok,2722
Hong Kong,Revenge Is Back,520141
Hong Kong,Reverse,9943
Hong Kong,Rewrite,1012
Hong Kong,Rewrite (Viu Originals),1973
Hong Kong,Rewrite SR2,119
Hong Kong,Rock Love Story,4462
Hong Kong,Roommates (2017),1744
Hong Kong,Roommates (2018),1383
Hong Kong,Royal Sister Returns,21714
Hong Kong,Royal Tramp,7391
Hong Kong,Rude Miss Young Ae Season 15,211
Hong Kong,Rude Miss Young Ae Season 16,986
Hong Kong,Run with the Wind,45188
Hong Kong,SFW 2019 F/W,6363
Hong Kong,SIGN (2019 J-Drama),16609
Hong Kong,SSSS.GRIDMAN,12273
Hong Kong,"Sachiko, Lost and Found",13220
Hong Kong,Scholar Who Walks the Night,9512
Hong Kong,School (2015),29170
Hong Kong,School 2017,13398
Hong Kong,Secret Healer,13828
Hong Kong,Secret and Lies,40724
Hong Kong,Secretly and Greatly (2016),79
Hong Kong,Secretly and Greatly (2017),251
Hong Kong,Seoul Fashion Week S/S19 Special,4541
Hong Kong,Seoul Fashion Week S/S19 Special (Overseas),13
Hong Kong,Seven Ms. Prisoners,1370
Hong Kong,Seventeen,6094
Hong Kong,Shadow of Justice (Cantonese version),419486
Hong Kong,Shadow of Justice (Mandarin version),3968
Hong Kong,Shall We Kiss First?,15909
Hong Kong,Shanghai Fashion Week A/W 2019,1544
Hong Kong,Sherlock's Room (2017),389
Hong Kong,Shia Wa Se,2389
Hong Kong,Shinjuku Seven,5713
Hong Kong,Show! Music Core (2017),254
Hong Kong,Show! Music Core (2018),1353
Hong Kong,Show! Music Core (2019),2786
Hong Kong,Show! music core (2016),230
Hong Kong,Shuttle Love Millennium,13058
Hong Kong,Shuttle Love Millennium (Cantonese),5628
Hong Kong,Single Wife,1825
Hong Kong,Sisters-in-law,4900
Hong Kong,Sketch,45944
Hong Kong,Sky Castle,729601
Hong Kong,Sky Castle Special,8334
Hong Kong,Slacker's Food Diary,5079
Hong Kong,Slam Dunk,108154
Hong Kong,Slam Dunk (Cantonese),800251
Hong Kong,Slited mouthed woman 1,2412
Hong Kong,Slited mouthed woman 2,897
Hong Kong,Slited mouthed woman 3,815
Hong Kong,Solomon's Perjury,4458
Hong Kong,Song Ji Hyo's Beauty View (2017),920
Hong Kong,"Songgot, the Pierce",881
Hong Kong,Songs: Shadow of Justice,173
Hong Kong,Special: Uncontrollably Fond,443
Hong Kong,Stairway to Stardom,17474
Hong Kong,Star April,14667
Hong Kong,Star April (Cantonese),5002
Hong Kong,Street Dance of China Season 2,10557
Hong Kong,Strong Woman Do Bong Soon,90857
Hong Kong,Suits (Korea),60307
Hong Kong,Super Entourage,2483
Hong Kong,Switch (Viu Orignals),579
