"area_name","group_series_name","sum"
Hong Kong,Trailer: Goblin Slayer,54
Hong Kong,Trailer: Good Doctor,235
Hong Kong,Trailer: Good Manager,98
Hong Kong,Trailer: Goodbye Mr. Black,15
Hong Kong,Trailer: Gordon Ramsay's 24 Hours Hell & Back (HK),6
Hong Kong,Trailer: Gu Family Secret,9
Hong Kong,Trailer: Haechi,4315
Hong Kong,Trailer: Haechi (PH),48
Hong Kong,Trailer: Harukana Receive,9
Hong Kong,Trailer: He is Psychometric (HK),1595
Hong Kong,Trailer: He is Psychometric (PH),8
Hong Kong,Trailer: Hello My Twenties!,24
Hong Kong,Trailer: Hello My Twenties! 2,21
Hong Kong,Trailer: Hide and Seek (PH),23
Hong Kong,Trailer: Hide and seek,35
Hong Kong,Trailer: Hoh Family 4 Freaks 4Fam (HK),333
Hong Kong,Trailer: Hold Me Tight,14
Hong Kong,Trailer: Holmes of Kyoto,8
Hong Kong,Trailer: Horror Dimension (2017),10
Hong Kong,Trailer: Hospital Ship (HK),202
Hong Kong,Trailer: Hospital Ship (PH),15
Hong Kong,Trailer: Hotel Del Luna (HK),34070
Hong Kong,Trailer: Hotel Del Luna (PH),181
Hong Kong,Trailer: How Not to Summon a Demon Lord,18
Hong Kong,Trailer: I Am Not a Robot,561
Hong Kong,Trailer: I Am Not a Robot (PH),41
Hong Kong,Trailer: I TURN,163
Hong Kong,Trailer: I see you,13
Hong Kong,Trailer: If It's for My Daughter,204
Hong Kong,Trailer: Innocent Defendant,214
Hong Kong,Trailer: Interviews with Monster Girls,13
Hong Kong,Trailer: It's Dangerous Beyond The Blankets,49
Hong Kong,Trailer: Item (HK),2655
Hong Kong,Trailer: Item (PH),41
Hong Kong,Trailer: It’s All About the Looks,46
Hong Kong,Trailer: Jamie's 15 Minute Meals (HK),3
Hong Kong,Trailer: Justice,1772
Hong Kong,Trailer: Justice (PH),11
Hong Kong,Trailer: KBS Drama Awards 2016,7
Hong Kong,Trailer: KBS Entertainment Awards 2016,2
Hong Kong,Trailer: KBS Music Festival 2016,4
Hong Kong,Trailer: KEIJO!!!!!!!! Hip Whip Girl,8
Hong Kong,Trailer: KONOSUBA S1,47
Hong Kong,Trailer: Kaguya-sama: Love Is War,387
Hong Kong,"Trailer: Kiss Him, Not Me",4
Hong Kong,Trailer: Legal High (PH),23
Hong Kong,Trailer: Legal High(HK),513
Hong Kong,Trailer: Legal V,153
Hong Kong,Trailer: Legend Of Fu Yao,1981
Hong Kong,Trailer: Less than Evil (HK),230
Hong Kong,Trailer: Let Me Introduce Her,60
Hong Kong,Trailer: Let's Eat S3,264
Hong Kong,Trailer: Life Plan A and B,38
Hong Kong,Trailer: Listen to Love,60
Hong Kong,Trailer: Love Alert,89
Hong Kong,Trailer: Love History of girl,6
Hong Kong,Trailer: Love Like Flower,35
Hong Kong,Trailer: Love Live! Sunshine!!,5
Hong Kong,Trailer: Love Live! Sunshine!! Season 2,24
Hong Kong,Trailer: Love Storm,23
Hong Kong,Trailer: Love and 3.14159,138
Hong Kong,Trailer: Love in the Moonlight,1032
Hong Kong,Trailer: Love in the Moonlight (PH),39
Hong Kong,Trailer: Lovely Love Lie,69
Hong Kong,Trailer: Luxe Asia (HK),36
Hong Kong,Trailer: MBC Drama Awards (2017),30
Hong Kong,Trailer: MBC Drama Awards (2018),105
Hong Kong,Trailer: MBC Entertainment Awards (2017),5
Hong Kong,Trailer: MBC Entertainment Awards (2018),30
Hong Kong,Trailer: MBC Music Festival (2017),19
Hong Kong,Trailer: MBC Music Festival (2018),86
Hong Kong,Trailer: MPD:Animal Unit,14
Hong Kong,Trailer: Mad Dog (HK),32
Hong Kong,Trailer: Madame Antoine,34
Hong Kong,Trailer: Make me viral,5
Hong Kong,Trailer: Mama Fairy and the Woodcutter (HK),323
Hong Kong,Trailer: Manhole,56
Hong Kong,Trailer: Manhole - Feel So Good (PH),12
Hong Kong,Trailer: March Comes in like a Lion,9
Hong Kong,Trailer: Miss Hammurabi (PH),35
Hong Kong,Trailer: Missing9,29
Hong Kong,Trailer: Moorim School,1
Hong Kong,Trailer: My Absolute Boyfriend (HK),1941
Hong Kong,Trailer: My Absolute Boyfriend (PH),39
Hong Kong,Trailer: My Dear Boy,123
Hong Kong,Trailer: My Dream Trip,118
Hong Kong,Trailer: My Girl (HK),41
Hong Kong,Trailer: My Horrible Boss,25
Hong Kong,"Trailer: My Husband, Mr. Oh! (HK)",165
Hong Kong,Trailer: My ID is Gangnam Beauty,784
Hong Kong,"Trailer: My Lawyer, Mr. Jo",57
Hong Kong,Trailer: My Sassy Girl (HK),85
Hong Kong,Trailer: My Shy Boss,394
Hong Kong,Trailer: My True Friend,907
Hong Kong,Trailer: My True Friend (SGEN),18
Hong Kong,Trailer: Mystery Rank Show 123 (HK),1
Hong Kong,Trailer: NANBAKA,9
Hong Kong,Trailer: Naked Fireman,70
Hong Kong,Trailer: National Husband (HK),53
Hong Kong,Trailer: Natsume's Book of Friends Five,14
Hong Kong,Trailer: Natsume's Book of Friends Six,8
Hong Kong,Trailer: No Sleep No FOMO (SGEN),9
Hong Kong,Trailer: On the Way to the Airport,196
Hong Kong,Trailer: Only side by side with you,152
Hong Kong,Trailer: Osakefufu,5
Hong Kong,Trailer: Ossan’s Love,294
Hong Kong,Trailer: Our Glamorous Time,397
Hong Kong,Trailer: Overlord S3,25
Hong Kong,Trailer: Overlord Season 2,35
Hong Kong,Trailer: Owarimonogatari Seaon Two,3
Hong Kong,Trailer: Padam Padam,127
Hong Kong,Trailer: Partners for Justice 2,1474
Hong Kong,Trailer: Party Left,183
Hong Kong,Trailer: Pied Piper,31
Hong Kong,Trailer: Ping Pong Ball,35
Hong Kong,Trailer: Police Tactical Unit (HK),25166
Hong Kong,Trailer: Police Tactical Unit (SGEN),14
Hong Kong,Trailer: Possessed,2985
Hong Kong,Trailer: Princess Agents,320
Hong Kong,Trailer: Princess Hours Thailand,57
Hong Kong,Trailer: Princess Jellyfish,34
Hong Kong,Trailer: Pure Intention,54
Hong Kong,Trailer: Queen (HK),187
Hong Kong,Trailer: Queen For Seven Days,281
Hong Kong,Trailer: Queen of Mystery,71
Hong Kong,Trailer: Queen of Mystery 2 (HK),212
Hong Kong,Trailer: Radiant Office,9
Hong Kong,Trailer: Rain or Shine,277
Hong Kong,Trailer: Real Men 300,94
Hong Kong,Trailer: Relife,31
Hong Kong,Trailer: Residential Complex,49
Hong Kong,Trailer: Revenge Is Back,1348
Hong Kong,Trailer: Reverse,9
Hong Kong,Trailer: Rewrite,5
Hong Kong,Trailer: Rewrite (Viu Original),33
Hong Kong,Trailer: Rock Love Story,24
Hong Kong,Trailer: Rommates,6
Hong Kong,Trailer: Rude Miss Young Ae Season 16,51
Hong Kong,Trailer: SIGN (2019 J-Drama),280
Hong Kong,Trailer: SSSS.gridman,15
Hong Kong,"Trailer: Sachiko, Lost and Found",31
Hong Kong,Trailer: School 2017,96
Hong Kong,Trailer: Secret and Lies,111
Hong Kong,Trailer: Secretly and Greatly,2
Hong Kong,Trailer: Seoul Fashion Week (SG+TH),1
Hong Kong,Trailer: Seoul Fashion Week S/S19 Special,26
Hong Kong,Trailer: Seven Ms. Prisoners,11
Hong Kong,Trailer: Shadow of Justice,135
Hong Kong,Trailer: Sherlock's room (2017),9
Hong Kong,Trailer: Single Wife,26
Hong Kong,Trailer: Sisters-in-law,22
Hong Kong,Trailer: Sketch,144
Hong Kong,Trailer: Sky Castle (HK),1791
Hong Kong,Trailer: Slam Dunk,67
Hong Kong,Trailer: Solomon's Perjury,30
Hong Kong,Trailer: Song Ji Hyo's Beauty View (2017),46
Hong Kong,"Trailer: Sonngot, the Pierce",5
Hong Kong,Trailer: Stairway to Stardom,47
Hong Kong,Trailer: Stranger from Hell (PH),4
Hong Kong,Trailer: Street Dance of China Season 2,285
Hong Kong,Trailer: Strong Woman Do Bong Soon,435
Hong Kong,Trailer: Strong Woman Do Bong Soon (PH),29
Hong Kong,Trailer: Suits (Korea),422
Hong Kong,Trailer: Sword Oratoria,57
Hong Kong,Trailer: Teacher Oh Soon Nam,322
Hong Kong,Trailer: Temperature of Love (HK),290
Hong Kong,Trailer: Temperature of Love (PH),11
Hong Kong,Trailer: Tempted,93
Hong Kong,Trailer: Terius Behind Me,1258
Hong Kong,Trailer: Terius Behind Me (PH),46
Hong Kong,Trailer: That Time I Got Reincarnated as a Slime,547
Hong Kong,Trailer: The 100 Nomad (HK),23
Hong Kong,Trailer: The Amazing Magicians,5
Hong Kong,Trailer: The Battle of Star,78
Hong Kong,Trailer: The Bride of Habaek (HK),403
Hong Kong,Trailer: The Bride of Habaek (PH),49
Hong Kong,Trailer: The Bridge (HK),122
Hong Kong,Trailer: The Case Files of Lord El-Melloi II,70
Hong Kong,Trailer: The Crowned Clown (HK),6075
Hong Kong,Trailer: The Emperor: Owner of the Mask,335
Hong Kong,Trailer: The Evolution of our Love,129
Hong Kong,Trailer: The Ex-man,335
Hong Kong,Trailer: The Good Thieves,53
Hong Kong,Trailer: The Guardian,51
Hong Kong,Trailer: The Habitation,9
Hong Kong,Trailer: The Lady in Dignity,45
Hong Kong,Trailer: The Light in Your Eyes,10080
Hong Kong,Trailer: The Light in Your Eyes (SGEN),24
Hong Kong,Trailer: The Man From Future,41
Hong Kong,Trailer: The Memory,21
Hong Kong,Trailer: The Merchant Gaekju (2015),4
Hong Kong,Trailer: The Morose Mononokea,13
Hong Kong,Trailer: The Morose Mononokean S2,471
Hong Kong,Trailer: The Price of Smiles (HK),247
Hong Kong,Trailer: The Rap of China 2019,559
Hong Kong,Trailer: The Rebel,8
Hong Kong,Trailer: The Royal Gambler,38
Hong Kong,Trailer: The Secret Life (SGEN),65
Hong Kong,Trailer: The Secret Life of My Secretary (HK),1938
Hong Kong,Trailer: The Secret Life of My Secretary (PH),20
Hong Kong,Trailer: The Starry Night The Starry Sea Season1,159
Hong Kong,Trailer: The Starry Night The Starry Sea Season2,150
Hong Kong,Trailer: The Third Charm,163
Hong Kong,Trailer: The Wind Blows,1637
Hong Kong,Trailer: Theatre of Vengeance,75
Hong Kong,Trailer: Thirty but Seventeen (HK),652
Hong Kong,Trailer: Thirty but Seventeen (PH),50
Hong Kong,Trailer: Time,49
Hong Kong,Trailer: To My Beloved,47
Hong Kong,Trailer: Tokyo Bachelors,202
Hong Kong,Trailer: Trap,4112
Hong Kong,Trailer: Trap (PH),27
Hong Kong,Trailer: Tsurezure Children,6
Hong Kong,Trailer: Two Cops (HK),114
Hong Kong,Trailer: Two Cops (PH),30
Hong Kong,Trailer: Uncontrollably Fond,285
Hong Kong,Trailer: Under Nineteen (HK),86
Hong Kong,Trailer: Unexpected Q,9
Hong Kong,Trailer: Unlucky day,8
Hong Kong,Trailer: Untouchable,352
Hong Kong,Trailer: Voice 3 (HK),1501
Hong Kong,Trailer: Waen Dok Mai,20
Hong Kong,Trailer: Watcher,506
Hong Kong,Trailer: We are in Love Season 3,35
Hong Kong,Trailer: Weighligting fairy Kim Bok-Joo,393
Hong Kong,Trailer: Welcome 2 Life (HK),195
Hong Kong,Trailer: Welcome to Waikiki,129
Hong Kong,Trailer: Welcome to Waikiki (PH),31
Hong Kong,Trailer: Welcome to Waikiki 2,2386
Hong Kong,Trailer: Welcome to Waikiki 2 (PH),8
Hong Kong,Trailer: What Did You Eat Yesterday?,507
Hong Kong,Trailer: What and what cool summer,141
Hong Kong,Trailer: What's Wrong Poong-sang,1227
Hong Kong,Trailer: Whisper,139
Hong Kong,Trailer: Wild Romance,5
Hong Kong,Trailer: Wizard of Nowhere (2017),3
Hong Kong,Trailer: Wok of Love,104
Hong Kong,Trailer: Wok of Love (PH),21
Hong Kong,Trailer: Wolf,507
Hong Kong,Trailer: YCTG (HK),178
Hong Kong,Trailer: You don't know Gunma yet,4
Hong Kong,Trailer: You drive me crazy,92
Hong Kong,Trailer: Your House Helper,71
Hong Kong,Trailer: euromaxx (HK),34
Hong Kong,Trailer: euromaxx (HK_ENG),1
Hong Kong,Trailer: parnter of justice,340
Hong Kong,Trailer: the secret message,10
Hong Kong,Trailer:Alderamin on the Sky,2
Hong Kong,Trailer:Gordon Ramsay's 24 Hours Hell & Back(ENG),1
Hong Kong,Trailer:Gordon Ramsay's Cookery Course(HK),8
Hong Kong,Tralier: Fated To Love You(Thai),111
Hong Kong,Trap,110110
Hong Kong,Trap Special,4700
Hong Kong,Travelzoo: Australia,1728
Hong Kong,Tsurezure Children,4525
Hong Kong,Two Cops,25111
Hong Kong,Uncontrollably Fond,40259
Hong Kong,Uncontrollably Fond (Cantonese),40314
Hong Kong,Under Nineteen,5558
Hong Kong,Under Nineteen (2019),7994
Hong Kong,Unexpected Q,1440
Hong Kong,Unlucky day,1130
Hong Kong,Untouchable,28825
Hong Kong,Ushio and Tora(Season 3),2084
Hong Kong,Virgins! Back to High School,1927
Hong Kong,Viu Beauty,137304
Hong Kong,Viu Beauty (SG+TH),827
Hong Kong,Viu Fashion,32225
Hong Kong,Viu Fashion (SG+TH),31
Hong Kong,Viu Food,117315
Hong Kong,Viu Food (SG+TH),1114
Hong Kong,Viu Shorts (Viu Original),36
Hong Kong,Vlogger: Angela,1506
Hong Kong,Vlogger: Bithia Lam,2200
Hong Kong,Vlogger: Cherry Lam,3235
Hong Kong,Vlogger: hana tam,1064
Hong Kong,Vlogger: kayan,3954
Hong Kong,Vlogger: paul gor,5338
Hong Kong,Voice 3,324397
Hong Kong,Waen Dok Mai,7635
Hong Kong,Watcher,103280
Hong Kong,We Got Married (2017),2003
Hong Kong,We are in Love Season 3,2876
Hong Kong,Weightlifting Fairy Kim Bok Joo,54574
Hong Kong,Welcome 2 Life,63354
Hong Kong,Welcome to Waikiki,44725
Hong Kong,Welcome to Waikiki 2,117848
Hong Kong,Welcome to Waikiki Special,522
Hong Kong,What Did You Eat Yesterday?,92992
Hong Kong,What and what cool summer,24414
Hong Kong,"What's Wrong, Poongsang?",113876
Hong Kong,Whisper,15228
Hong Kong,Whisper (Cantonese),12510
Hong Kong,Wild Romance,5982
Hong Kong,"Winter, Grasping Love",2787
Hong Kong,Wise and Foolish,911
Hong Kong,Wizard of Nowhere (2017),751
Hong Kong,Wizard of Nowhere (2018),766
Hong Kong,Wok of Love,37196
Hong Kong,Wok the World (2018),2308
Hong Kong,Wolf,7455
Hong Kong,YCTG (HK),13759
Hong Kong,You Drive Me Crazy,6516
Hong Kong,You don't know Gunma yet,1333
Hong Kong,Your House Helper,31214
Hong Kong,Yuuna and the Haunted Hot Springs,6677
Hong Kong,euromaxx,339
Hong Kong,kiss me,11627
Hong Kong,lovey dovey,2881
Hong Kong,missing korea,1107
Hong Kong,the secret message,2352
Hong Kong,top star: yoo-baek,117693
Hong Kong,深度遊日,8814
